site,year,date_time,rain,fstrips,fcontrol,pad,,
arm,2016,7/2/2016 6:45,0.001,,,,,
arm,2016,7/2/2016 10:35,0.001,,,,,
arm,2016,7/7/2016 2:05,0.002,,,,,
arm,2016,7/7/2016 2:10,0.005,,,,,
arm,2016,7/7/2016 2:15,0.003,,,,,
arm,2016,7/7/2016 2:20,0.002,,,,,
arm,2016,7/7/2016 2:25,0.002,,,,,
arm,2016,7/7/2016 2:30,0.001,,,,,
arm,2016,7/7/2016 5:10,0.001,,,,,
arm,2016,7/7/2016 5:15,0.001,,,,,
arm,2016,7/7/2016 5:20,0.001,,,,,
arm,2016,7/7/2016 5:30,0.001,,,,,
arm,2016,7/7/2016 5:35,0.001,,,,,
arm,2016,7/7/2016 5:40,0.001,,,,,
arm,2016,7/11/2016 22:20,0.001,,,,,
arm,2016,7/11/2016 22:30,0.001,,,,,
arm,2016,7/11/2016 22:35,0.001,,,,,
arm,2016,7/11/2016 22:40,0.001,,,,,
arm,2016,7/11/2016 22:45,0.001,,,,,
arm,2016,7/11/2016 22:50,0.001,,,,,
arm,2016,7/11/2016 23:00,0.001,,,,,
arm,2016,7/11/2016 23:05,0.001,,,,,
arm,2016,7/11/2016 23:10,0.003,,,,,
arm,2016,7/11/2016 23:15,0.002,,,,,
arm,2016,7/11/2016 23:20,0.002,,,,,
arm,2016,7/11/2016 23:25,0.002,,,,,
arm,2016,7/11/2016 23:30,0.002,,,,,
arm,2016,7/11/2016 23:35,0.002,,,,,
arm,2016,7/11/2016 23:40,0.001,,,,,
arm,2016,7/11/2016 23:45,0.001,,,,,
arm,2016,7/11/2016 23:50,0.001,,,,,
arm,2016,7/12/2016 0:00,0.001,,,,,
arm,2016,7/12/2016 0:15,0.001,,,,,
arm,2016,7/12/2016 0:20,0.001,,,,,
arm,2016,7/12/2016 0:30,0.001,,,,,
arm,2016,7/12/2016 0:35,0.001,,,,,
arm,2016,7/18/2016 0:50,0.001,,1016,,,
arm,2016,7/18/2016 0:55,0.001,,1016,,,
arm,2016,7/18/2016 1:00,0.001,,1016,,,
arm,2016,7/18/2016 1:20,0.001,,1016,,,
arm,2016,7/18/2016 2:55,0.001,,1016,,,
arm,2016,7/18/2016 3:00,0.003,,1016,,,
arm,2016,7/18/2016 3:05,0.002,,1016,,,
arm,2016,7/18/2016 3:10,0.001,,1016,,,
arm,2016,7/18/2016 3:15,0.006,,1016,,,
arm,2016,7/18/2016 3:20,0.004,,1016,,,
arm,2016,7/18/2016 3:25,0.003,,1016,,,
arm,2016,7/18/2016 3:30,0.001,,1016,,,
arm,2016,7/18/2016 3:40,0.001,,1016,,,
arm,2016,7/18/2016 3:50,0.001,,1016,,,
arm,2016,7/18/2016 3:55,0.001,,1016,,,
arm,2016,7/18/2016 4:00,0.002,,1016,,,
arm,2016,7/18/2016 4:05,0.001,,1016,,,
arm,2016,7/18/2016 4:10,0.001,,1016,,,
arm,2016,7/18/2016 4:25,0.001,,1016,,,
arm,2016,7/18/2016 4:30,0.001,,1016,,,
arm,2016,7/18/2016 4:35,0.003,,1016,,,
arm,2016,7/18/2016 4:40,0.001,,1016,,,
arm,2016,7/18/2016 4:55,0.001,,1016,,,
arm,2016,7/18/2016 5:00,0.001,,1016,,,
