"Year","SiteID","sampleID","rain","rain_min","rf_count"
2019,"WHI","4064",0.017,546,1
2019,"WHI","4066",0.073,722,2
2019,"WOR","4007",0.016,316,1
2019,"WOR","4014",0.057,466,1
2019,"WOR","4015",0.057,466,1
2019,"WOR","4031",0.029,146,1
2019,"WOR","4032",0.029,146,1
2019,"WOR","4040",0.021,36,1
2019,"WOR","4041",0.021,36,1
2019,"WOR","4072",0.036,391,1
2020,"HOE","5007",0.049,946,1
2020,"MAR","5010",0.035,166,1
2020,"MAR","5011",0.035,166,1
2020,"MAR","5015",0.021,211,1
2020,"MCN","5000",0.008,511,1
2020,"MCN","5001",0.057,111,1
2020,"MCN","5002",0.057,111,1
2020,"MCN","5003",0.013,76,1
2020,"MCN","5009",0.02,52,2
2020,"MCN","5012",0.015,31,1
2020,"MCN","5019",0.039,631,1
2020,"RHO","5005",0.032,251,1
2020,"RHO","5006",0.032,251,1
2020,"RHO","5016",0.052,577,2
2020,"RHO","5017",0.052,577,2
2020,"RHO","5020",0.069,859,4
2020,"WOR","5008",0.024,46,1
2021,"HOE","6011",0.059,396,1
2021,"MCN","6000",0.043,336,1
2021,"MCN","6001",0.043,336,1
2021,"MCN","6004",0.044,186,1
2021,"MCN","6005",0.044,186,1
2021,"MCN","6006",0.097,337,2
2021,"MCN","6007",0.097,337,2
2021,"MCN","6009",0.071,216,1
2021,"MCN","6010",0.071,216,1
2021,"RHO","6002",0.028,26,1
2021,"RHO","6003",0.028,26,1
2021,"RHO","6008",0.097,171,1
