SiteID,Year,Treatment,ro_event,tss_sum,ppt_sum
WHI,2018,strips,26,0.815306233,0.035
WHI,2018,strips,28,29.25706145,0.039
WHI,2018,strips,30,0.52718133,0.02
WHI,2018,strips,34,17.58785889,0.02
WHI,2018,strips,a124,0,0.018
WHI,2018,strips,a2,0,0.015
WHI,2019,control,2,0.830954978,0.07696
WHI,2019,control,4,1.343972291,0.07696
WHI,2019,control,8,4.531913279,0.102
WHI,2019,control,a24,0,0.017
WHI,2019,control,a26,0,0.073
WHI,2019,strips,18,5.81765841,0.102
WHI,2019,strips,2,1.589017058,0.07696
WHI,2019,strips,24,0.052997137,0.017
WHI,2019,strips,26,4.480197173,0.073
WHI,2019,strips,28,9.770056296,0.073
WHI,2019,strips,4,5.988996759,0.07696
WHI,2019,strips,8,2.431040958,0.07696
WOR,2016,control,28,0.050369002,0.061
WOR,2016,control,36,5.642764695,0.059
WOR,2016,control,38,0.147411014,0.025
WOR,2016,strips,a28,0,0.061
WOR,2016,strips,a36,0,0.059
WOR,2016,strips,a38,0,0.025
WOR,2018,control,10,3.98E-06,0.09906
WOR,2018,control,14,72.44304586,0.09906
WOR,2018,control,16,1.461408178,0.09906
WOR,2018,control,16,2.059508328,0.09906
WOR,2018,control,18,1.51750412,0.09906
WOR,2018,control,2,1.476607614,0.023
WOR,2018,control,20,0.076096922,0.09906
WOR,2018,control,22,14.79871593,0.09906
WOR,2018,control,30,0.003853517,0.09906
WOR,2018,control,36,16.03400908,0.077
WOR,2018,control,38,1.169821552,0.077
WOR,2018,control,40,5.184098242,0.077
WOR,2018,control,42,2.067985483,0.026
WOR,2018,control,44,10.01886109,0.026
WOR,2018,strips,100,2.956399921,0.026
WOR,2018,strips,104,10.66672184,0.026
WOR,2018,strips,36,96.6595536,0.09906
WOR,2018,strips,50,0.788175071,0.09906
WOR,2018,strips,56,0.930431585,0.09906
WOR,2018,strips,78,18.69422088,0.077
WOR,2018,strips,80,1.642059856,0.077
WOR,2018,strips,82,3.244278107,0.077
WOR,2018,strips,84,0.609375627,0.077
WOR,2018,strips,a2,0,0.023
WOR,2019,control,12,1.378286226,0.029
WOR,2019,control,18,1.210108093,0.021
WOR,2019,control,6,71.80656162,0.057
WOR,2019,control,a18,0,0.016
WOR,2019,control,a98,0,0.036
WOR,2019,strips,18,0.101733664,0.016
WOR,2019,strips,20,65.75345526,0.057
WOR,2019,strips,38,13.62233634,0.029
WOR,2019,strips,52,6.158659827,0.021
WOR,2019,strips,98,0.201661731,0.036
WOR,2020,control,a6,0,0.024
WOR,2020,strips,6,0.219996094,0.024
