SiteID,Year,sample_event,tss_load,crop,random,slope75,LSfactor,Lfactor,Sfactor,C_factor,K_factor,post_Lupslp,post_Tupslp,pre_Lupslp,ppt_sum,ln_ppt,Treatment,ln_slp,ln_LS,ln_L,ln_S,ln_postL,ln_postT
EIA,2016,10,0,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.029,-3.540459449,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,1,76.34594749,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.082,-2.501036032,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,1,9.730638821,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.082,-2.501036032,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,2,1.624316784,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.123,-2.095570924,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,2,11.3963857,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.123,-2.095570924,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,3,0.305524738,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.052,-2.95651156,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,3,1.852548504,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.052,-2.95651156,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,4,0.415766883,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.048,-3.036554268,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,4,1.253074511,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.048,-3.036554268,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,5,1.698902358,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.047,-3.057607677,strips,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
EIA,2018,5,3.964236592,soybean,R,6.6,0.7337,1.177394,0.6186,0.08,0.042144,226.82,10301.02,226.82,0.047,-3.057607677,control,1.887069649,-0.309655053,0.163303522,-0.480296419,5.424156751,9.239998198
HOE,2016,1,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0259,-3.65351231,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,1,1.034269928,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0259,-3.65351231,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,2,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.17999,-1.714853985,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,2,11.67860552,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.17999,-1.714853985,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,3,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.029,-3.540459449,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2016,3,0.896468298,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.029,-3.540459449,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,1,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.021,-3.863232841,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,1,7.578900335,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.021,-3.863232841,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,2,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.011,-4.509860006,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,2,5.408619988,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.011,-4.509860006,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,3,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.023,-3.772261063,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,3,4.595399717,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.023,-3.772261063,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,4,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.10992,-2.208002451,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2017,4,41.19619317,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.10992,-2.208002451,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,1,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.037,-3.296837366,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,1,0.205311862,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.037,-3.296837366,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,2,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.08,-2.525728644,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,2,21.3151918,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.08,-2.525728644,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,3,21.80025201,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.064,-2.748872196,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,3,48.00008152,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.064,-2.748872196,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,4,3.954462414,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.046,-3.079113882,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,4,19.58333031,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.046,-3.079113882,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,5,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0726,-2.622790357,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,5,0.875319381,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.0726,-2.622790357,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,6,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.06932,-2.669021814,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2018,6,20.16030052,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.06932,-2.669021814,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2019,1,3.749025274,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.19962,-1.61133972,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2019,1,8.191859302,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.19962,-1.61133972,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2020,1,0,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.049,-3.015934981,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2020,1,34.41373482,corn,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.049,-3.015934981,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2021,1,0,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.078,-2.551046452,strips,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
HOE,2021,1,0.101538,soybean,NR,6.64,0.6618,1.312906,0.63142,0.18,0.051363,621.75,103312.27,621.75,0.078,-2.551046452,control,1.893111963,-0.412791883,0.272243001,-0.459784028,6.432538083,11.54551143
MCN,2021,1,0.197857,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.043,-3.146555163,strips,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
MCN,2021,1,8.051957,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.043,-3.146555163,control,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
MCN,2021,2,0.910299,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.044,-3.123565645,strips,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
MCN,2021,2,0.201617,corn,R,5.5,0.4379,0.944472,0.450009,0.18,0.048729,181.24,7851.1,181.24,0.044,-3.123565645,control,1.704748092,-0.825764705,-0.057129238,-0.798487696,5.19982212,8.968408928
