"SiteID","Treatment","Year","eventid","flow","eventStart","eventEnd","flow_time"
"ARM","strips",2018,42,47.525,2018-07-13 13:55:00,2018-07-13 20:00:00,366
"ARM","strips",2018,44,60.99,2018-08-14 21:55:00,2018-08-15 04:50:00,416
"ARM","strips",2018,46,1.619,2018-08-16 07:50:00,2018-08-16 09:45:00,116
"ARM","strips",2018,48,1.432,2018-08-19 23:55:00,2018-08-20 03:25:00,211
"ARM","strips",2018,50,13.52,2018-09-01 01:50:00,2018-09-01 09:50:00,481
"ARM","strips",2018,52,23.584,2018-09-01 23:05:00,2018-09-02 09:50:00,646
"ARM","strips",2018,54,9.653,2018-09-03 01:55:00,2018-09-03 10:25:00,511
"ARM","strips",2018,56,168.523,2018-09-04 14:25:00,2018-09-05 11:55:00,1291
"ARM","strips",2018,58,7.006,2018-09-21 01:40:00,2018-09-21 08:45:00,426
"ARM","strips",2018,60,67.828,2018-09-25 09:55:00,2018-09-26 01:50:00,956
"ARM","strips",2018,62,17.428,2018-10-07 16:00:00,2018-10-08 02:40:00,641
"ARM","strips",2018,64,1.219,2018-10-09 04:25:00,2018-10-09 05:50:00,86
"ARM","strips",2019,2,619747.404,2019-04-12 02:30:00,2019-04-12 14:00:00,691
"ARM","strips",2019,4,344225.033,2019-04-13 04:45:00,2019-04-13 08:50:00,246
"ARM","strips",2019,6,1.149,2019-05-19 06:40:00,2019-05-19 07:55:00,76
"ARM","strips",2019,8,61.779,2019-05-21 17:25:00,2019-05-22 08:25:00,901
"ARM","strips",2019,10,89.925,2019-05-23 17:35:00,2019-05-24 15:20:00,1306
"ARM","strips",2019,12,4441.809,2019-05-28 06:25:00,2019-05-28 17:20:00,656
"ARM","strips",2019,14,55.465,2019-06-01 15:00:00,2019-06-02 18:00:00,1621
"ARM","strips",2019,16,30.841,2019-06-03 13:20:00,2019-06-03 21:40:00,501
"ARM","strips",2019,18,8.02,2019-06-18 17:55:00,2019-06-19 01:45:00,471
"ARM","strips",2019,20,44.391,2019-06-21 09:15:00,2019-06-21 20:10:00,656
"ARM","strips",2019,22,154.361,2019-06-22 08:25:00,2019-06-22 21:45:00,801
"ARM","strips",2019,24,44.604,2019-06-23 15:00:00,2019-06-24 18:10:00,1631
"ARM","strips",2019,26,962.314,2019-06-25 20:50:00,2019-06-28 17:35:00,4126
"ARM","strips",2019,28,0.034,2019-06-29 13:05:00,2019-06-29 13:15:00,11
"ARM","strips",2019,30,285.33,2019-07-03 15:45:00,2019-07-04 19:45:00,1681
"ARM","strips",2019,32,36.706,2019-07-16 06:35:00,2019-07-16 08:10:00,96
"ARM","strips",2019,34,175.196,2019-07-31 11:00:00,2019-08-01 03:35:00,996
"ARM","strips",2019,36,750.139,2019-08-11 07:35:00,2019-08-12 20:45:00,2231
"ARM","strips",2019,38,44.444,2019-08-13 15:30:00,2019-08-13 19:55:00,266
"ARM","strips",2019,40,95.802,2019-08-18 05:20:00,2019-08-18 20:45:00,926
"ARM","strips",2019,42,314.257,2019-08-21 07:00:00,2019-08-23 13:25:00,3266
"ARM","strips",2019,44,705.458,2019-09-10 03:35:00,2019-09-12 23:40:00,4086
"ARM","strips",2019,46,377.857,2019-09-14 12:00:00,2019-09-15 20:35:00,1956
"ARM","strips",2019,48,8.538,2019-09-16 12:10:00,2019-09-16 15:35:00,206
"ARM","strips",2019,50,0.689,2019-09-17 12:35:00,2019-09-17 13:00:00,26
"ARM","strips",2019,52,115.869,2019-09-19 07:10:00,2019-09-19 20:40:00,811
"ARM","strips",2019,54,200.642,2019-09-21 22:10:00,2019-09-23 12:00:00,2271
"ARM","strips",2019,56,32.586,2019-09-24 21:20:00,2019-09-25 10:25:00,786
"ARM","strips",2019,58,394.099,2019-09-29 15:45:00,2019-09-30 17:25:00,1541
"ARM","strips",2019,60,965.806,2019-10-05 08:05:00,2019-10-08 11:55:00,4551
"ARM","strips",2019,62,142.015,2019-10-10 04:30:00,2019-10-10 14:45:00,616
"ARM","strips",2020,2,0.445,2020-03-24 20:40:00,2020-03-24 21:25:00,46
"ARM","strips",2020,4,11.438,2020-03-25 19:25:00,2020-03-26 02:40:00,436
"ARM","strips",2020,6,0.333,2020-05-08 11:55:00,2020-05-08 11:55:00,1
"ARM","strips",2020,8,1.153,2020-05-09 07:50:00,2020-05-09 07:50:00,1
"ARM","strips",2020,10,8.305,2020-05-09 20:45:00,2020-05-10 03:50:00,426
"ARM","strips",2020,12,8.809,2020-05-10 21:05:00,2020-05-10 21:10:00,6
"ARM","strips",2020,14,1298.969,2020-05-19 14:40:00,2020-05-21 12:55:00,2776
"ARM","strips",2020,16,779.07,2020-05-23 00:05:00,2020-05-23 15:15:00,911
"ARM","strips",2020,18,1690.898,2020-05-24 06:50:00,2020-05-26 23:35:00,3886
"ARM","strips",2020,20,5.155,2020-05-29 02:00:00,2020-05-29 09:00:00,421
"ARM","strips",2020,22,1.339,2020-06-08 12:55:00,2020-06-08 14:15:00,81
"ARM","strips",2020,24,258.318,2020-06-09 21:45:00,2020-06-10 13:10:00,926
"ARM","strips",2020,26,208.025,2020-07-01 02:25:00,2020-07-01 12:40:00,616
"ARM","strips",2020,28,23.122,2020-07-23 09:15:00,2020-07-23 13:55:00,281
"ARM","strips",2020,30,0.905,2020-07-26 10:40:00,2020-07-27 01:20:00,881
"ARM","strips",2020,32,2.239,2020-07-30 02:25:00,2020-07-30 06:20:00,236
"ARM","strips",2020,34,837.663,2020-09-08 14:40:00,2020-09-13 05:00:00,6621
"ARM","strips",2021,2,0.197,2021-04-27 15:00:00,2021-04-27 15:20:00,21
"ARM","strips",2021,4,10.028,2021-05-09 01:15:00,2021-05-09 02:05:00,51
"ARM","strips",2021,6,36.263,2021-05-27 04:25:00,2021-05-27 14:30:00,606
"ARM","strips",2021,8,116.198,2021-06-18 23:30:00,2021-06-19 16:40:00,1031
"ARM","strips",2021,10,0.108,2021-06-24 10:40:00,2021-06-24 10:45:00,6
"ARM","strips",2021,12,8.436,2021-07-10 00:00:00,2021-07-10 01:30:00,91
"EIA","control",2016,2,33.323,2016-05-03 23:55:00,2016-05-04 10:55:00,661
"EIA","control",2016,4,1197.659,2016-05-27 16:20:00,2016-05-29 21:05:00,3166
"EIA","control",2016,6,22.109,2016-05-30 15:05:00,2016-05-30 19:20:00,256
"EIA","control",2016,8,806.511,2016-05-31 20:15:00,2016-06-01 21:05:00,1491
"EIA","control",2016,10,4.968,2016-06-02 16:50:00,2016-06-02 18:40:00,111
"EIA","control",2016,12,1068.056,2016-06-04 01:50:00,2016-06-05 20:40:00,2571
"EIA","control",2016,14,587.328,2016-06-11 02:25:00,2016-06-12 18:30:00,2406
"EIA","control",2016,16,731.956,2016-06-14 20:25:00,2016-06-16 10:40:00,2296
"EIA","control",2016,18,76397.393,2016-06-22 01:20:00,2016-06-23 16:20:00,2341
"EIA","control",2016,20,0.664,2016-06-24 18:40:00,2016-06-24 19:10:00,31
"EIA","control",2016,22,542.443,2016-06-25 13:45:00,2016-06-26 20:40:00,1856
"EIA","control",2016,24,14.086,2016-06-27 17:30:00,2016-06-27 18:50:00,81
"EIA","control",2016,26,214.404,2016-06-30 02:50:00,2016-06-30 22:40:00,1191
"EIA","control",2016,28,12.1,2016-07-01 17:35:00,2016-07-01 18:50:00,76
"EIA","control",2016,30,27.898,2016-07-06 02:40:00,2016-07-06 03:35:00,56
"EIA","control",2016,32,451.469,2016-07-06 16:50:00,2016-07-07 23:35:00,1846
"EIA","control",2016,34,162.019,2016-07-08 15:45:00,2016-07-08 18:35:00,171
"EIA","control",2016,36,39.044,2016-07-09 17:15:00,2016-07-09 18:20:00,66
"EIA","control",2016,38,1229.419,2016-07-10 12:35:00,2016-07-13 11:40:00,4266
"EIA","control",2016,40,107.905,2016-07-17 05:25:00,2016-07-17 17:20:00,716
