"SiteID","Year","eventid","precipitation","eventStart","eventEnd","time"
"ARM",2019,60,0.009,2019-08-12 04:15:00,2019-08-12 05:05:00,1.83333333333333
"ARM",2019,62,0.01,2019-08-18 05:20:00,2019-08-18 07:05:00,2.75
"ARM",2019,64,0.03,2019-08-21 06:40:00,2019-08-21 07:55:00,2.25
"ARM",2019,66,0.008,2019-08-26 09:30:00,2019-08-26 15:45:00,7.25
"ARM",2019,74,0.02,2019-09-10 03:25:00,2019-09-10 08:25:00,6
"ARM",2019,76,0.011,2019-09-12 14:55:00,2019-09-12 15:05:00,1.16666666666667
"ARM",2019,84,0.033,2019-09-19 07:10:00,2019-09-19 08:40:00,2.5
"ARM",2019,86,0.064,2019-09-21 22:00:00,2019-09-22 09:35:00,12.5833333333333
"ARM",2019,88,0.029,2019-09-24 20:30:00,2019-09-24 23:00:00,3.5
"ARM",2019,90,0.007,2019-09-28 17:05:00,2019-09-28 17:40:00,1.58333333333333
"ARM",2019,94,0.048,2019-10-01 15:05:00,2019-10-01 22:40:00,8.58333333333333
"ARM",2019,98,0.014,2019-10-05 07:50:00,2019-10-05 08:25:00,1.58333333333333
"ARM",2019,102,0.015,2019-10-10 04:15:00,2019-10-10 07:00:00,3.75
"ARM",2020,10,0.008,2020-05-14 12:35:00,2020-05-14 14:00:00,2.41666666666667
"ARM",2020,12,0.017,2020-05-16 21:30:00,2020-05-16 21:50:00,1.33333333333333
"ARM",2020,16,0.011,2020-05-23 00:50:00,2020-05-23 01:45:00,1.91666666666667
"ARM",2020,18,0.027,2020-05-24 07:05:00,2020-05-24 08:15:00,2.16666666666667
"ARM",2020,20,0.007,2020-05-25 21:05:00,2020-05-25 21:20:00,1.25
"ARM",2020,26,0.014,2020-06-09 21:45:00,2020-06-09 22:40:00,1.91666666666667
"ARM",2020,34,0.022,2020-07-01 02:15:00,2020-07-01 04:50:00,3.58333333333333
"ARM",2020,42,0.041,2020-07-23 08:45:00,2020-07-23 10:35:00,2.83333333333333
"ARM",2020,44,0.013,2020-07-26 10:35:00,2020-07-26 12:20:00,2.75
"EIA",2016,8,0.014,2016-03-23 22:40:00,2016-03-24 00:00:00,2.33333333333333
"EIA",2016,12,0.027,2016-04-05 23:05:00,2016-04-06 01:55:00,3.83333333333333
"EIA",2016,20,0.008,2016-04-27 22:25:00,2016-04-27 23:25:00,2
"EIA",2016,22,0.013,2016-04-30 09:45:00,2016-04-30 14:10:00,5.41666666666667
"EIA",2016,28,0.01,2016-05-09 17:50:00,2016-05-09 18:45:00,1.91666666666667
"EIA",2016,36,0.008,2016-05-27 22:55:00,2016-05-28 03:35:00,5.66666666666667
"EIA",2016,38,0.009,2016-05-28 13:55:00,2016-05-28 14:05:00,1.16666666666667
"EIA",2016,42,0.01,2016-05-31 20:05:00,2016-05-31 20:45:00,1.66666666666667
"EIA",2016,44,0.015,2016-06-04 01:45:00,2016-06-04 02:00:00,1.25
"EIA",2016,46,0.013,2016-06-04 18:15:00,2016-06-04 19:20:00,2.08333333333333
"EIA",2016,56,0.008,2016-06-14 20:20:00,2016-06-14 22:25:00,3.08333333333333
"EIA",2016,60,0.129,2016-06-22 00:30:00,2016-06-22 08:45:00,9.25
"EIA",2016,64,0.02,2016-06-26 03:00:00,2016-06-26 05:15:00,3.25
"EIA",2016,66,0.014,2016-06-30 02:15:00,2016-06-30 07:45:00,6.5
"EIA",2016,68,0.007,2016-07-06 02:35:00,2016-07-06 02:45:00,1.16666666666667
