"Year","SiteID","Treatment","eventid","flow","flow_time","eventStart","eventEnd"
2016,"ARM","strips",34,6.285,541,2016-10-06 11:35:00,2016-10-06 20:35:00
2017,"ARM","strips",2,34.053,426,2017-04-19 14:35:00,2017-04-19 21:40:00
2017,"ARM","strips",4,44.534,651,2017-04-30 17:10:00,2017-05-01 04:00:00
2017,"ARM","strips",6,65.423,661,2017-05-10 07:25:00,2017-05-10 18:25:00
2017,"ARM","strips",8,6.53,191,2017-05-17 11:10:00,2017-05-17 14:20:00
2017,"ARM","strips",10,261.986,336,2017-05-20 08:25:00,2017-05-20 14:00:00
2017,"ARM","strips",12,3436.717,576,2017-06-16 20:50:00,2017-06-17 06:25:00
2017,"ARM","strips",14,7.225,201,2017-08-15 10:15:00,2017-08-15 13:35:00
2017,"ARM","strips",16,139.139,451,2017-09-25 16:20:00,2017-09-25 23:50:00
2017,"ARM","strips",18,0.907,21,2017-10-06 22:55:00,2017-10-06 23:15:00
2018,"ARM","strips",2,85.459,341,2018-05-03 16:10:00,2018-05-03 21:50:00
2018,"ARM","strips",4,0.178,86,2018-05-14 19:05:00,2018-05-14 20:30:00
2018,"ARM","strips",6,27.157,226,2018-05-30 13:55:00,2018-05-30 17:40:00
2018,"ARM","strips",8,881.493,1501,2018-06-02 01:55:00,2018-06-03 02:55:00
2018,"ARM","strips",10,3072.437,3626,2018-06-10 07:05:00,2018-06-12 19:30:00
2018,"ARM","strips",12,109.202,1126,2018-06-18 18:25:00,2018-06-19 13:10:00
2018,"ARM","strips",14,4.215,41,2018-07-01 01:35:00,2018-07-01 02:15:00
2018,"ARM","strips",16,40.713,256,2018-07-13 15:45:00,2018-07-13 20:00:00
2018,"ARM","strips",18,60.99,416,2018-08-14 21:55:00,2018-08-15 04:50:00
2018,"ARM","strips",20,1.619,116,2018-08-16 07:50:00,2018-08-16 09:45:00
2018,"ARM","strips",22,1.432,211,2018-08-19 23:55:00,2018-08-20 03:25:00
2018,"ARM","strips",24,13.52,481,2018-09-01 01:50:00,2018-09-01 09:50:00
2018,"ARM","strips",26,23.584,646,2018-09-01 23:05:00,2018-09-02 09:50:00
2018,"ARM","strips",28,9.653,511,2018-09-03 01:55:00,2018-09-03 10:25:00
2018,"ARM","strips",30,167.882,1291,2018-09-04 14:25:00,2018-09-05 11:55:00
2018,"ARM","strips",32,7.006,426,2018-09-21 01:40:00,2018-09-21 08:45:00
2018,"ARM","strips",34,67.828,956,2018-09-25 09:55:00,2018-09-26 01:50:00
2018,"ARM","strips",36,17.428,641,2018-10-07 16:00:00,2018-10-08 02:40:00
2018,"ARM","strips",38,1.219,86,2018-10-09 04:25:00,2018-10-09 05:50:00
2019,"ARM","strips",2,1.149,76,2019-05-19 06:40:00,2019-05-19 07:55:00
2019,"ARM","strips",4,61.779,901,2019-05-21 17:25:00,2019-05-22 08:25:00
2019,"ARM","strips",6,88.478,1006,2019-05-23 22:35:00,2019-05-24 15:20:00
2019,"ARM","strips",8,4437.795,656,2019-05-28 06:25:00,2019-05-28 17:20:00
2019,"ARM","strips",10,20.115,341,2019-06-01 15:00:00,2019-06-01 20:40:00
2019,"ARM","strips",12,30.841,501,2019-06-03 13:20:00,2019-06-03 21:40:00
2019,"ARM","strips",14,8.02,471,2019-06-18 17:55:00,2019-06-19 01:45:00
2019,"ARM","strips",16,44.391,656,2019-06-21 09:15:00,2019-06-21 20:10:00
2019,"ARM","strips",18,154.361,801,2019-06-22 08:25:00,2019-06-22 21:45:00
2019,"ARM","strips",20,44.496,1376,2019-06-23 19:15:00,2019-06-24 18:10:00
2019,"ARM","strips",22,378.771,1431,2019-06-25 20:50:00,2019-06-26 20:40:00
2019,"ARM","strips",24,217.782,1496,2019-07-03 18:50:00,2019-07-04 19:45:00
2019,"ARM","strips",26,36.706,96,2019-07-16 06:35:00,2019-07-16 08:10:00
2019,"ARM","strips",28,175.196,996,2019-07-31 11:00:00,2019-08-01 03:35:00
2019,"ARM","strips",30,750.139,2231,2019-08-11 07:35:00,2019-08-12 20:45:00
2019,"ARM","strips",32,95.802,926,2019-08-18 05:20:00,2019-08-18 20:45:00
2019,"ARM","strips",34,146.414,1491,2019-08-21 07:00:00,2019-08-22 07:50:00
2019,"ARM","strips",36,188.098,1726,2019-09-10 03:35:00,2019-09-11 08:20:00
2019,"ARM","strips",38,33.464,526,2019-09-12 14:55:00,2019-09-12 23:40:00
2019,"ARM","strips",40,377.857,1956,2019-09-14 12:00:00,2019-09-15 20:35:00
2019,"ARM","strips",42,115.869,811,2019-09-19 07:10:00,2019-09-19 20:40:00
2019,"ARM","strips",44,192.931,2121,2019-09-21 22:10:00,2019-09-23 09:30:00
2019,"ARM","strips",46,32.586,786,2019-09-24 21:20:00,2019-09-25 10:25:00
2019,"ARM","strips",48,377.764,1091,2019-09-29 15:45:00,2019-09-30 09:55:00
2019,"ARM","strips",50,585.174,1456,2019-10-05 08:05:00,2019-10-06 08:20:00
2019,"ARM","strips",52,142.015,616,2019-10-10 04:30:00,2019-10-10 14:45:00
2020,"ARM","strips",2,0.333,1,2020-05-08 11:55:00,2020-05-08 11:55:00
2020,"ARM","strips",4,779.07,911,2020-05-23 00:05:00,2020-05-23 15:15:00
2020,"ARM","strips",6,1006.582,1506,2020-05-24 07:05:00,2020-05-25 08:10:00
2020,"ARM","strips",8,525.465,1546,2020-05-25 21:50:00,2020-05-26 23:35:00
2020,"ARM","strips",10,258.318,926,2020-06-09 21:45:00,2020-06-10 13:10:00
2020,"ARM","strips",12,208.025,616,2020-07-01 02:25:00,2020-07-01 12:40:00
2020,"ARM","strips",14,23.122,281,2020-07-23 09:15:00,2020-07-23 13:55:00
2020,"ARM","strips",16,0.905,881,2020-07-26 10:40:00,2020-07-27 01:20:00
2020,"ARM","strips",18,2.239,236,2020-07-30 02:25:00,2020-07-30 06:20:00
2020,"ARM","strips",20,694.198,3426,2020-09-08 14:40:00,2020-09-10 23:45:00
2020,"ARM","strips",22,115.71,1441,2020-09-11 22:00:00,2020-09-12 22:00:00
2021,"ARM","strips",2,10.028,51,2021-05-09 01:15:00,2021-05-09 02:05:00
2021,"ARM","strips",4,36.263,606,2021-05-27 04:25:00,2021-05-27 14:30:00
2021,"ARM","strips",6,116.144,1026,2021-06-18 23:35:00,2021-06-19 16:40:00
