Year,SiteID,rf_event,rain_mm,rain_hr,rf_rate,eventStart,eventEnd,Time
2018,ARM,24,10,3.683333333,2.714932127,8/28/2018 11:30,8/28/2018 15:10,0
2018,ARM,25,40,9.266666667,4.316546763,8/31/2018 21:40,9/1/2018 6:55,0
2018,ARM,26,20,8.266666667,2.419354839,9/1/2018 22:55,9/2/2018 7:10,0
2018,ARM,27,9,1.766666667,5.094339623,9/3/2018 0:45,9/3/2018 2:30,0
2018,ARM,28,22,18.6,1.182795699,9/4/2018 14:20,9/5/2018 8:55,0
2018,ARM,29,10,2.1,4.761904762,9/7/2018 4:50,9/7/2018 6:55,0
2018,ARM,30,14,3.85,3.636363636,9/20/2018 20:40,9/21/2018 0:30,0
2018,ARM,31,12,2.35,5.106382979,9/25/2018 9:50,9/25/2018 12:10,0
2018,ARM,32,4,10.35,0.38647343,9/30/2018 18:55,10/1/2018 5:15,0
2018,ARM,33,9,3.433333333,2.621359223,10/7/2018 12:45,10/7/2018 16:10,0
2018,ARM,34,22,13.51666667,1.627620222,10/8/2018 5:00,10/8/2018 18:30,0
2018,ARM,35,4,0.266666667,15,10/9/2018 14:10,10/9/2018 14:25,0
2019,ARM,1,3,0.1,30,4/10/2019 23:30,4/10/2019 23:35,0
2019,ARM,2,21,2.766666667,7.590361446,4/27/2019 1:45,4/27/2019 4:30,0
2019,ARM,3,6,0.433333333,13.84615385,5/4/2019 23:35,5/5/2019 0:00,0
2019,ARM,4,4,0.433333333,9.230769231,5/6/2019 17:05,5/6/2019 17:30,0
2019,ARM,5,27,4.35,6.206896552,5/8/2019 3:55,5/8/2019 8:15,0
2019,ARM,6,6,7.433333333,0.807174888,5/17/2019 2:45,5/17/2019 10:10,1
2019,ARM,7,3,0.683333333,4.390243902,5/18/2019 15:25,5/18/2019 16:05,1
2019,ARM,8,5,12.68333333,0.394218134,5/21/2019 11:45,5/22/2019 0:25,1
2019,ARM,9,52,7.6,6.842105263,5/23/2019 22:25,5/24/2019 6:00,1
2019,ARM,10,8,1.266666667,6.315789474,5/26/2019 1:25,5/26/2019 2:40,1
2019,ARM,11,8,5.266666667,1.518987342,5/27/2019 0:10,5/27/2019 5:25,1
2019,ARM,12,24,4.35,5.517241379,5/28/2019 3:05,5/28/2019 7:25,1
2019,ARM,13,10,4.266666667,2.34375,6/3/2019 11:45,6/3/2019 16:00,1
2019,ARM,14,3,0.266666667,11.25,6/11/2019 20:55,6/11/2019 21:10,2
2019,ARM,15,40,3.516666667,11.37440758,6/18/2019 14:45,6/18/2019 18:15,2
2019,ARM,16,4,2.6,1.538461538,6/21/2019 6:35,6/21/2019 9:10,2
2019,ARM,17,5,1.35,3.703703704,6/22/2019 8:10,6/22/2019 9:30,2
2019,ARM,18,3,0.1,30,6/25/2019 20:40,6/25/2019 20:45,3
2019,ARM,19,38,2.266666667,16.76470588,7/3/2019 18:50,7/3/2019 21:05,3
2019,ARM,20,60,1.683333333,35.64356436,7/16/2019 5:30,7/16/2019 7:10,3
2019,ARM,21,16,4.85,3.298969072,7/31/2019 6:05,7/31/2019 10:55,0
2019,ARM,22,51,3.183333333,16.02094241,8/11/2019 7:10,8/11/2019 10:20,0
2019,ARM,23,9,0.85,10.58823529,8/12/2019 4:15,8/12/2019 5:05,0
2019,ARM,24,10,1.766666667,5.660377358,8/18/2019 5:20,8/18/2019 7:05,0
2019,ARM,25,30,1.266666667,23.68421053,8/21/2019 6:40,8/21/2019 7:55,0
2019,ARM,26,8,6.266666667,1.276595745,8/26/2019 9:30,8/26/2019 15:45,0
2019,ARM,27,4,0.1,40,8/29/2019 5:40,8/29/2019 5:45,0
2019,ARM,28,20,5.016666667,3.986710963,9/10/2019 3:25,9/10/2019 8:25,0
2019,ARM,29,11,0.183333333,60,9/12/2019 14:55,9/12/2019 15:05,0
2019,ARM,30,3,0.1,30,9/18/2019 10:10,9/18/2019 10:15,0
2019,ARM,31,33,1.516666667,21.75824176,9/19/2019 7:10,9/19/2019 8:40,0
2019,ARM,32,64,11.6,5.517241379,9/21/2019 22:00,9/22/2019 9:35,0
2019,ARM,33,29,2.516666667,11.52317881,9/24/2019 20:30,9/24/2019 23:00,0
2019,ARM,34,7,0.6,11.66666667,9/28/2019 17:05,9/28/2019 17:40,0
2019,ARM,35,4,1.6,2.5,9/29/2019 9:10,9/29/2019 10:45,0
2019,ARM,36,51,19.76666667,2.58010118,10/1/2019 15:05,10/2/2019 10:50,0
2019,ARM,37,14,0.6,23.33333333,10/5/2019 7:50,10/5/2019 8:25,0
2019,ARM,38,21,24.6,0.853658537,10/9/2019 17:35,10/10/2019 18:10,0
2019,ARM,39,5,1.766666667,2.830188679,10/20/2019 21:15,10/20/2019 23:00,0
2020,ARM,1,8,1.433333333,5.581395349,5/14/2020 12:35,5/14/2020 14:00,1
2020,ARM,2,17,0.35,48.57142857,5/16/2020 21:30,5/16/2020 21:50,1
2020,ARM,3,11,0.933333333,11.78571429,5/23/2020 0:50,5/23/2020 1:45,1
2020,ARM,4,27,1.183333333,22.81690141,5/24/2020 7:05,5/24/2020 8:15,1
2020,ARM,5,13,20.6,0.631067961,5/25/2020 21:05,5/26/2020 17:40,1
2020,ARM,6,15,7.35,2.040816327,6/9/2020 21:45,6/10/2020 5:05,2
2020,ARM,7,5,0.516666667,9.677419355,6/19/2020 3:20,6/19/2020 3:50,2
2020,ARM,8,3,1.1,2.727272727,6/28/2020 5:25,6/28/2020 6:30,3
2020,ARM,9,22,2.6,8.461538462,7/1/2020 2:15,7/1/2020 4:50,3
2020,ARM,10,41,1.85,22.16216216,7/23/2020 8:45,7/23/2020 10:35,3
2020,ARM,11,13,1.766666667,7.358490566,7/26/2020 10:35,7/26/2020 12:20,3
2020,ARM,12,11,9.016666667,1.219963031,7/29/2020 14:55,7/29/2020 23:55,3
2020,ARM,13,13,4.433333333,2.932330827,9/7/2020 21:15,9/8/2020 1:40,0
2020,ARM,14,34,21.18333333,1.605035405,9/8/2020 14:50,9/9/2020 12:00,0
2021,ARM,1,4,7.766666667,0.515021459,4/7/2021 18:10,4/8/2021 1:55,0
2021,ARM,2,33,4.016666667,8.215767635,5/8/2021 21:20,5/9/2021 1:20,0
2021,ARM,3,4,0.1,40,5/19/2021 8:35,5/19/2021 8:40,0
2021,ARM,4,4,0.433333333,9.230769231,5/20/2021 18:00,5/20/2021 18:25,0
2021,ARM,5,22,1.1,20,5/27/2021 3:45,5/27/2021 4:50,0
2021,ARM,6,3,0.35,8.571428571,6/17/2021 0:55,6/17/2021 1:15,0
2021,ARM,7,19,0.933333333,20.35714286,6/18/2021 23:35,6/19/2021 0:30,0
2021,ARM,8,11,5.766666667,1.907514451,6/20/2021 2:10,6/20/2021 7:55,0
2021,ARM,9,8,0.433333333,18.46153846,6/24/2021 3:55,6/24/2021 4:20,0
2021,ARM,10,4,0.766666667,5.217391304,6/24/2021 20:20,6/24/2021 21:05,0
2021,ARM,11,3,2.85,1.052631579,6/26/2021 1:35,6/26/2021 4:25,0
2021,ARM,12,12,2.766666667,4.337349398,7/7/2021 4:00,7/7/2021 6:45,0
2021,ARM,13,60,3.016666667,19.88950276,7/10/2021 0:00,7/10/2021 3:00,0
2021,ARM,14,8,0.433333333,18.46153846,7/10/2021 15:20,7/10/2021 15:45,0
2021,ARM,15,5,0.35,14.28571429,7/15/2021 6:50,7/15/2021 7:10,0
2021,ARM,16,6,0.266666667,22.5,7/30/2021 8:05,7/30/2021 8:20,0
2021,ARM,17,78,9.183333333,8.493647913,7/30/2021 20:30,7/31/2021 5:40,0
2021,ARM,18,4,0.1,40,8/6/2021 2:55,8/6/2021 3:00,0
2021,ARM,19,10,1.266666667,7.894736842,8/8/2021 0:35,8/8/2021 1:50,0
